Renewables.ninja Weather - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://doi.org/10.1175/JCLI-D-16-0758.1,,,,,,,,Pv output according to renewables ninjas,,
time,local_time,cloud_cover,temperature,irradiance_surface,irradiance_toa,air_density,windspeed,output,direct,diffuse
2014-01-01 00:00,2014-01-01 02:00,0.958,19.578,0,0,1.039,6.645,0,0,0
2014-01-01 01:00,2014-01-01 03:00,0.935,19.317,0,0,1.041,6.467,0,0,0
2014-01-01 02:00,2014-01-01 04:00,0.906,19.057,0,0,1.043,6.256,0,0,0
2014-01-01 03:00,2014-01-01 05:00,0.876,18.776,1.878,11.074,1.045,6.149,0,0,0.002
2014-01-01 04:00,2014-01-01 06:00,0.867,19.079,73.296,248.651,1.046,6.593,0.057,0.007,0.067
2014-01-01 05:00,2014-01-01 07:00,0.84,20.185,260.966,567.362,1.043,8.132,0.243,0.07,0.191
2014-01-01 06:00,2014-01-01 08:00,0.841,21.847,453.824,856.916,1.039,9.182,0.422,0.183,0.271
2014-01-01 07:00,2014-01-01 09:00,0.836,23.647,616.227,1097.408,1.034,9.413,0.558,0.286,0.33
2014-01-01 08:00,2014-01-01 10:00,0.824,24.818,673.415,1272.604,1.029,9.072,0.601,0.272,0.401
2014-01-01 09:00,2014-01-01 11:00,0.828,25.555,686.273,1370.314,1.025,8.621,0.609,0.233,0.454
2014-01-01 10:00,2014-01-01 12:00,0.817,25.744,565.715,1384.431,1.023,8.231,0.51,0.112,0.453
2014-01-01 11:00,2014-01-01 13:00,0.826,25.78,460.565,1313.595,1.021,7.823,0.42,0.06,0.401
2014-01-01 12:00,2014-01-01 14:00,0.86,25.61,335.36,1162.326,1.02,7.345,0.307,0.027,0.308
2014-01-01 13:00,2014-01-01 15:00,0.943,25.102,198.456,941.347,1.02,6.509,0.177,0.009,0.19
2014-01-01 14:00,2014-01-01 16:00,0.937,24.404,114.727,665.705,1.021,5.315,0.096,0.004,0.111
2014-01-01 15:00,2014-01-01 17:00,0.943,23.495,50.379,354.11,1.023,4.629,0.035,0.001,0.049
2014-01-01 16:00,2014-01-01 18:00,0.949,22.185,6.002,55.941,1.025,5.019,0,0,0.006
2014-01-01 17:00,2014-01-01 19:00,0.952,21.553,0,0,1.027,5.926,0,0,0
2014-01-01 18:00,2014-01-01 20:00,0.946,21.293,0,0,1.029,6.772,0,0,0
2014-01-01 19:00,2014-01-01 21:00,0.929,21.053,0,0,1.032,7.261,0,0,0
2014-01-01 20:00,2014-01-01 22:00,0.885,20.765,0,0,1.034,7.215,0,0,0
2014-01-01 21:00,2014-01-01 23:00,0.874,20.447,0,0,1.036,6.89,0,0,0
2014-01-01 22:00,2014-01-02 00:00,0.883,20.161,0,0,1.037,6.667,0,0,0
2014-01-01 23:00,2014-01-02 01:00,0.885,19.957,0,0,1.038,6.394,0,0,0
2014-01-02 00:00,2014-01-02 02:00,0.797,19.761,0,0,1.038,6.162,0,0,0
2014-01-02 01:00,2014-01-02 03:00,0.821,19.557,0,0,1.04,5.873,0,0,0
2014-01-02 02:00,2014-01-02 04:00,0.926,19.377,0,0,1.041,5.614,0,0,0
2014-01-02 03:00,2014-01-02 05:00,0.947,19.223,1.438,10.939,1.043,5.485,0,0,0.001
2014-01-02 04:00,2014-01-02 06:00,0.944,19.592,58.736,248.276,1.043,5.226,0.043,0.003,0.055
2014-01-02 05:00,2014-01-02 07:00,0.905,20.556,191.697,567.135,1.042,5.831,0.174,0.023,0.169
2014-01-02 06:00,2014-01-02 08:00,0.871,21.848,342.093,856.916,1.038,7.244,0.319,0.062,0.28
