Renewables.ninja Solar PV - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,
UTC,Africa/Lusaka,kW,kW/m2,kW/m2,ºC
time,local_time,output,direct,diffuse,temperature
2014-01-01 00:00,2014-01-01 02:00,0,0,0,19.578
2014-01-01 01:00,2014-01-01 03:00,0,0,0,19.317
2014-01-01 02:00,2014-01-01 04:00,0,0,0,19.057
2014-01-01 03:00,2014-01-01 05:00,0,0,0.002,18.776
2014-01-01 04:00,2014-01-01 06:00,0.057,0.007,0.067,19.079
2014-01-01 05:00,2014-01-01 07:00,0.243,0.07,0.191,20.185
2014-01-01 06:00,2014-01-01 08:00,0.422,0.183,0.271,21.847
2014-01-01 07:00,2014-01-01 09:00,0.558,0.286,0.33,23.647
2014-01-01 08:00,2014-01-01 10:00,0.601,0.272,0.401,24.818
2014-01-01 09:00,2014-01-01 11:00,0.609,0.233,0.454,25.555
2014-01-01 10:00,2014-01-01 12:00,0.51,0.112,0.453,25.744
2014-01-01 11:00,2014-01-01 13:00,0.42,0.06,0.401,25.78
2014-01-01 12:00,2014-01-01 14:00,0.307,0.027,0.308,25.61
2014-01-01 13:00,2014-01-01 15:00,0.177,0.009,0.19,25.102
2014-01-01 14:00,2014-01-01 16:00,0.096,0.004,0.111,24.404
2014-01-01 15:00,2014-01-01 17:00,0.035,0.001,0.049,23.495
2014-01-01 16:00,2014-01-01 18:00,0,0,0.006,22.185
2014-01-01 17:00,2014-01-01 19:00,0,0,0,21.553
2014-01-01 18:00,2014-01-01 20:00,0,0,0,21.293
2014-01-01 19:00,2014-01-01 21:00,0,0,0,21.053
2014-01-01 20:00,2014-01-01 22:00,0,0,0,20.765
2014-01-01 21:00,2014-01-01 23:00,0,0,0,20.447
2014-01-01 22:00,2014-01-02 00:00,0,0,0,20.161
2014-01-01 23:00,2014-01-02 01:00,0,0,0,19.957
2014-01-02 00:00,2014-01-02 02:00,0,0,0,19.761
2014-01-02 01:00,2014-01-02 03:00,0,0,0,19.557
2014-01-02 02:00,2014-01-02 04:00,0,0,0,19.377
2014-01-02 03:00,2014-01-02 05:00,0,0,0.001,19.223
2014-01-02 04:00,2014-01-02 06:00,0.043,0.003,0.055,19.592
2014-01-02 05:00,2014-01-02 07:00,0.174,0.023,0.169,20.556
2014-01-02 06:00,2014-01-02 08:00,0.319,0.062,0.28,21.848
2014-01-02 07:00,2014-01-02 09:00,0.422,0.093,0.364,23.117
2014-01-02 08:00,2014-01-02 10:00,0.485,0.11,0.422,24.008
2014-01-02 09:00,2014-01-02 11:00,0.53,0.128,0.458,24.64
2014-01-02 10:00,2014-01-02 12:00,0.539,0.133,0.465,25.194
2014-01-02 11:00,2014-01-02 13:00,0.51,0.12,0.444,25.679
2014-01-02 12:00,2014-01-02 14:00,0.386,0.059,0.364,25.698
2014-01-02 13:00,2014-01-02 15:00,0.269,0.028,0.267,25.414
2014-01-02 14:00,2014-01-02 16:00,0.162,0.012,0.17,24.765
2014-01-02 15:00,2014-01-02 17:00,0.052,0.003,0.067,23.501
2014-01-02 16:00,2014-01-02 18:00,0,0,0.006,21.854
2014-01-02 17:00,2014-01-02 19:00,0,0,0,21.15
2014-01-02 18:00,2014-01-02 20:00,0,0,0,20.809
2014-01-02 19:00,2014-01-02 21:00,0,0,0,20.501
2014-01-02 20:00,2014-01-02 22:00,0,0,0,20.243
2014-01-02 21:00,2014-01-02 23:00,0,0,0,20.02
2014-01-02 22:00,2014-01-03 00:00,0,0,0,19.839
2014-01-02 23:00,2014-01-03 01:00,0,0,0,19.69
2014-01-03 00:00,2014-01-03 02:00,0,0,0,19.565
2014-01-03 01:00,2014-01-03 03:00,0,0,0,19.449
