Demand;SolarGen;Wind
691.0;0.0;0.909
551.0;0.0;0.895
534.0;0.0;0.883
512.0;0.0;0.873
496.0;0.0;0.857
468.0;0.0;0.8300000000000001
439.0;0.002;0.783
435.0;0.051000000000000004;0.735
466.0;0.11800000000000001;0.6950000000000001
468.0;0.182;0.655
467.0;0.244;0.609
475.0;0.295;0.603
489.0;0.313;0.636
488.0;0.302;0.667
480.0;0.25;0.6970000000000001
460.0;0.17200000000000001;0.718
460.0;0.082;0.726
570.0;0.008;0.722
688.0;0.0;0.718
679.0;0.0;0.755
639.0;0.0;0.837
602.0;0.0;0.924
531.0;0.0;0.967
510.0;0.0;0.977
508.0;0.0;0.979
508.0;0.0;0.98
486.0;0.0;0.981
375.0;0.0;0.983
375.0;0.0;0.982
313.0;0.0;0.977
330.0;0.007;0.969
333.0;0.11800000000000001;0.965
306.0;0.297;0.961
322.0;0.442;0.9570000000000001
339.0;0.562;0.9510000000000001
344.0;0.604;0.9450000000000001
370.0;0.634;0.9440000000000001
450.0;0.585;0.9420000000000001
440.0;0.511;0.9420000000000001
425.0;0.37;0.9420000000000001
430.0;0.192;0.9400000000000001
560.0;0.023;0.931
659.0;0.0;0.925
682.0;0.0;0.923
662.0;0.0;0.917
615.0;0.0;0.906
489.0;0.0;0.892
470.0;0.0;0.877
471.0;0.0;0.878
468.0;0.0;0.895
455.0;0.0;0.907
440.0;0.0;0.901
460.0;0.0;0.882
465.0;0.0;0.86
420.0;0.015;0.842
399.0;0.183;0.843
415.0;0.388;0.848
438.0;0.559;0.845
323.0;0.662;0.84
405.0;0.712;0.8320000000000001
470.0;0.712;0.8220000000000001
480.0;0.651;0.807
475.0;0.511;0.792
475.0;0.319;0.783
420.0;0.136;0.773
540.0;0.017;0.759
667.0;0.0;0.731
660.0;0.0;0.724
610.0;0.0;0.738
560.0;0.0;0.773
480.0;0.0;0.8170000000000001
450.0;0.0;0.837
469.0;0.0;0.841
447.0;0.0;0.842
448.0;0.0;0.835
453.0;0.0;0.8270000000000001
507.0;0.0;0.8220000000000001
532.0;0.0;0.801
348.0;0.016;0.773
386.0;0.178;0.751
400.0;0.374;0.724
