Demand;SolarGen;Wind
130.0;0.0;0.921
109.0;0.0;0.897
95.0;0.0;0.865
88.0;0.0;0.8290000000000001
82.0;0.0;0.79
0.0;0.0;0.753
0.0;0.002;0.7020000000000001
0.0;0.046;0.658
0.0;0.11;0.611
0.0;0.179;0.578
0.0;0.248;0.543
0.0;0.305;0.544
50.0;0.324;0.578
96.0;0.315;0.608
104.0;0.241;0.629
100.0;0.164;0.652
91.0;0.085;0.675
110.0;0.007;0.6930000000000001
138.0;0.0;0.731
132.0;0.0;0.787
125.0;0.0;0.873
110.0;0.0;0.9390000000000001
90.0;0.0;0.979
80.0;0.0;0.986
75.0;0.0;0.987
0.0;0.0;0.987
0.0;0.0;0.987
0.0;0.0;0.986
0.0;0.0;0.985
0.0;0.0;0.982
0.0;0.011;0.976
0.0;0.14300000000000002;0.971
50.0;0.355;0.967
78.0;0.515;0.964
84.0;0.617;0.96
86.0;0.669;0.9560000000000001
90.0;0.663;0.9540000000000001
93.0;0.614;0.9530000000000001
92.0;0.507;0.9540000000000001
92.0;0.366;0.9550000000000001
81.0;0.192;0.9570000000000001
110.0;0.023;0.9550000000000001
120.0;0.0;0.9540000000000001
130.0;0.0;0.9530000000000001
125.0;0.0;0.9470000000000001
105.0;0.0;0.934
115.0;0.0;0.918
80.0;0.0;0.905
70.0;0.0;0.908
0.0;0.0;0.921
0.0;0.0;0.926
0.0;0.0;0.917
0.0;0.0;0.898
0.0;0.0;0.877
0.0;0.02;0.861
0.0;0.2;0.856
49.0;0.399;0.853
74.0;0.559;0.846
83.0;0.665;0.84
82.0;0.715;0.8310000000000001
89.0;0.7000000000000001;0.8200000000000001
91.0;0.606;0.807
94.0;0.454;0.8
92.0;0.289;0.805
88.0;0.153;0.8130000000000001
110.0;0.023;0.8270000000000001
135.0;0.0;0.838
130.0;0.0;0.857
120.0;0.0;0.868
105.0;0.0;0.874
80.0;0.0;0.878
70.0;0.0;0.878
70.0;0.0;0.882
0.0;0.0;0.879
0.0;0.0;0.867
0.0;0.0;0.854
0.0;0.0;0.841
0.0;0.0;0.8150000000000001
0.0;0.027;0.781
0.0;0.223;0.749
49.0;0.406;0.715
78.0;0.5630000000000001;0.668
81.0;0.6920000000000001;0.608
86.0;0.749;0.579
93.0;0.754;0.562
99.0;0.709;0.531
99.0;0.618;0.507
92.0;0.46900000000000003;0.492
84.0;0.264;0.493
110.0;0.041;0.5
138.0;0.0;0.51
135.0;0.0;0.513
132.0;0.0;0.501
110.0;0.0;0.488
90.0;0.0;0.47600000000000003
75.0;0.0;0.459
68.0;0.0;0.457
0.0;0.0;0.507
0.0;0.0;0.583
0.0;0.0;0.648
0.0;0.0;0.677
0.0;0.0;0.652
0.0;0.044;0.588
0.0;0.28400000000000003;0.521
52.0;0.47400000000000003;0.47700000000000004
86.0;0.594;0.433
90.0;0.661;0.373
92.0;0.664;0.336
101.0;0.64;0.326
100.0;0.597;0.34
99.0;0.47000000000000003;0.376
95.0;0.338;0.419
88.0;0.186;0.449
105.0;0.016;0.425
138.0;0.0;0.375
138.0;0.0;0.324
125.0;0.0;0.277
95.0;0.0;0.277
80.0;0.0;0.328
70.0;0.0;0.43
68.0;0.0;0.538
0.0;0.0;0.5730000000000001
0.0;0.0;0.603
0.0;0.0;0.641
0.0;0.0;0.655
0.0;0.0;0.629
0.0;0.022;0.5650000000000001
0.0;0.147;0.499
46.0;0.318;0.457
78.0;0.483;0.434
79.0;0.559;0.41100000000000003
81.0;0.64;0.396
86.0;0.683;0.39
89.0;0.669;0.382
89.0;0.591;0.393
84.0;0.456;0.41100000000000003
84.0;0.254;0.434
106.0;0.037;0.453
140.0;0.0;0.492
135.0;0.0;0.539
130.0;0.0;0.5630000000000001
100.0;0.0;0.5750000000000001
80.0;0.0;0.579
75.0;0.0;0.615
68.0;0.0;0.673
0.0;0.0;0.72
0.0;0.0;0.738
0.0;0.0;0.731
0.0;0.0;0.712
0.0;0.0;0.6970000000000001
0.0;0.033;0.6920000000000001
0.0;0.26;0.667
49.0;0.46;0.623
78.0;0.611;0.5720000000000001
84.0;0.722;0.514
92.0;0.767;0.492
93.0;0.715;0.503
99.0;0.544;0.531
96.0;0.337;0.578
94.0;0.218;0.636
88.0;0.14100000000000001;0.682
105.0;0.029;0.687
136.0;0.0;0.67
132.0;0.0;0.659
130.0;0.0;0.64
110.0;0.0;0.631
85.0;0.0;0.631
80.0;0.0;0.653
80.0;0.0;0.7000000000000001
0.0;0.0;0.757
0.0;0.0;0.792
0.0;0.0;0.804
0.0;0.0;0.8150000000000001
0.0;0.0;0.8140000000000001
0.0;0.035;0.812
0.0;0.256;0.812
48.0;0.463;0.81
74.0;0.596;0.807
80.0;0.686;0.79
87.0;0.737;0.794
88.0;0.744;0.808
95.0;0.7000000000000001;0.8250000000000001
96.0;0.595;0.85
90.0;0.456;0.875
79.0;0.246;0.89
106.0;0.034;0.898
140.0;0.0;0.903
135.0;0.0;0.911
130.0;0.0;0.911
100.0;0.0;0.901
85.0;0.0;0.894
75.0;0.0;0.892
70.0;0.0;0.892
0.0;0.0;0.887
0.0;0.0;0.88
0.0;0.0;0.874
0.0;0.0;0.876
0.0;0.0;0.868
0.0;0.019;0.849
0.0;0.162;0.8270000000000001
47.0;0.363;0.81
71.0;0.53;0.799
83.0;0.656;0.792
90.0;0.712;0.806
91.0;0.729;0.8300000000000001
92.0;0.687;0.845
91.0;0.589;0.859
87.0;0.43;0.88
84.0;0.219;0.896
100.0;0.025;0.894
138.0;0.0;0.887
139.0;0.0;0.895
130.0;0.0;0.904
100.0;0.0;0.903
85.0;0.0;0.899
75.0;0.0;0.904
65.0;0.0;0.916
0.0;0.0;0.924
0.0;0.0;0.93
0.0;0.0;0.9400000000000001
0.0;0.0;0.9490000000000001
0.0;0.0;0.9500000000000001
0.0;0.033;0.9480000000000001
0.0;0.258;0.9460000000000001
43.0;0.465;0.9390000000000001
74.0;0.613;0.922
76.0;0.71;0.895
81.0;0.761;0.872
86.0;0.762;0.859
84.0;0.714;0.859
84.0;0.618;0.871
84.0;0.468;0.881
77.0;0.259;0.886
105.0;0.04;0.881
140.0;0.0;0.871
138.0;0.0;0.861
125.0;0.0;0.852
100.0;0.0;0.836
90.0;0.0;0.8180000000000001
80.0;0.0;0.8150000000000001
70.0;0.0;0.8200000000000001
0.0;0.0;0.8310000000000001
0.0;0.0;0.8320000000000001
0.0;0.0;0.8310000000000001
0.0;0.0;0.8310000000000001
0.0;0.0;0.8210000000000001
0.0;0.032;0.8130000000000001
0.0;0.253;0.812
47.0;0.47200000000000003;0.8
77.0;0.621;0.773
93.0;0.712;0.744
95.0;0.757;0.731
93.0;0.757;0.722
