hour,SolarGen,Wind,GridAvailability,Demand AC,Demand DC
0,0,0.847,1,6,0
1,0,0.794,1,6,0
2,0,0.752,1,0,0
3,0,0.718,1,0,0
4,0,0.689,1,0,0
5,0,0.664,1,0,0
6,0.004,0.649,1,18,0
7,0.049,0.627,0,0,7
8,0.103,0.628,1,9,0
9,0.153,0.651,0,0,0
10,0.203,0.71,1,12,0
11,0.267,0.805,1,0,0
12,0.303,0.891,1,0,0
13,0.305,0.941,1,2.5,0
14,0.278,0.966,0,0,30
15,0.212,0.972,0,0,12
16,0.088,0.972,1,20,0
17,0.002,0.97,0,0,6
18,0,0.971,1,97,0
19,0,0.971,1,29.5,0
20,0,0.977,0,0,14
21,0,0.982,0,0,8
22,0,0.983,1,21,0
23,0,0.984,1,0,0
24,0,0.983,0,0,0
25,0,0.98,1,8.5,0
26,0,0.975,1,3,0
27,0,0.968,1,0,0
28,0,0.961,0,0,2
29,0,0.948,0,0,2
30,0.017,0.934,1,15,0
31,0.166,0.933,1,18,0
32,0.347,0.948,1,14.5,0
33,0.492,0.962,1,2.5,0
34,0.564,0.968,0,0,2
35,0.58,0.973,0,0,0
36,0.538,0.972,0,0,16.5
37,0.47,0.965,1,0,0
38,0.373,0.954,1,25,0
39,0.258,0.943,1,47.5,0
40,0.101,0.924,1,62.5,0
41,0.002,0.889,1,40,0
42,0,0.847,1,46.5,0
43,0,0.82,0,0,13
44,0,0.807,1,38.5,0
45,0,0.803,1,21,0
46,0,0.797,1,21,0
47,0,0.8,1,0,0
48,0,0.82,1,0,0
49,0,0.827,1,0,0
50,0,0.832,1,0,0
51,0,0.835,0,0,0
52,0,0.836,1,0,0
53,0,0.822,1,0,0
54,0.031,0.797,1,18,0
55,0.228,0.783,1,24,0
56,0.432,0.83,1,17,0
57,0.561,0.856,1,2.5,0
58,0.578,0.849,1,2.5,0
59,0.605,0.84,1,5,0
60,0.567,0.829,1,54.5,0
61,0.486,0.817,1,42.5,0
62,0.396,0.808,1,7.5,0
63,0.273,0.801,1,7.5,0
64,0.122,0.783,1,2.5,0
65,0.004,0.75,0,0,16.5
66,0,0.724,1,32,0
67,0,0.713,1,58,0
68,0,0.705,1,40.5,0
69,0,0.697,1,24,0
70,0,0.674,1,24,0
71,0,0.64,1,12,0
72,0,0.605,1,0,0
73,0,0.575,1,0,0
74,0,0.554,1,0,0
75,0,0.533,0,0,0
76,0,0.515,1,0,0
77,0,0.459,1,0,0
78,0.042,0.413,1,21,0
79,0.263,0.391,1,24,0
80,0.466,0.49,0,0,7
81,0.604,0.541,0,0,0
82,0.66,0.521,1,5,0
83,0.676,0.492,1,22.5,0
84,0.648,0.465,1,48.5,0
85,0.595,0.443,1,19.5,0
86,0.511,0.428,1,7.5,0
87,0.32,0.41,1,5,0
88,0.152,0.38,1,0,0
89,0.006,0.35,1,20,0
90,0,0.341,1,55,0
91,0,0.315,0,0,11.5
92,0,0.294,1,20.5,0
93,0,0.271,1,20,0
94,0,0.264,1,24,0
95,0,0.26,1,0,0
96,0,0.26,1,0,0
97,0,0.263,1,0,0
98,0,0.265,1,0,0
99,0,0.271,1,0,0
100,0,0.275,1,0,0
101,0,0.268,1,0,0
102,0.049,0.262,1,9,0
103,0.276,0.256,1,18,0
104,0.469,0.335,1,18,0
105,0.6,0.395,1,12,0
106,0.632,0.409,1,6,0
107,0.625,0.425,1,25,0
108,0.65,0.451,1,0,0
109,0.599,0.482,1,42.5,0
110,0.488,0.513,1,47.5,0
111,0.306,0.52,1,22.5,0
112,0.144,0.475,1,5,0
113,0.005,0.389,1,0,0
114,0,0.342,1,29,0
115,0,0.318,1,63,0
116,0,0.284,1,51.5,0
117,0,0.257,0,0,9.5
118,0,0.243,0,0,6
119,0,0.288,1,0,0
120,0,0.307,1,12,0
121,0,0.307,0,0,1.5
122,0,0.298,1,0,0
123,0,0.315,1,0,0
124,0,0.302,1,3,0
125,0,0.291,1,6,0
126,0.038,0.274,1,15,0
127,0.232,0.235,1,24,0
128,0.428,0.249,0,0,4.5
129,0.579,0.267,1,11,0
130,0.679,0.256,1,2.5,0
131,0.722,0.253,1,5,0
132,0.727,0.262,1,5,0
133,0.656,0.285,1,0,0
134,0.534,0.326,1,5,0
135,0.352,0.367,0,0,7.5
136,0.127,0.386,1,80,0
137,0.004,0.403,1,65,0
138,0,0.408,1,55,0
139,0,0.404,0,0,8
140,0,0.391,1,20.5,0
141,0,0.382,1,23.5,0
142,0,0.374,1,24,0
143,0,0.377,0,0,0
144,0,0.397,0,0,0
145,0,0.399,1,6,0
146,0,0.404,1,3,0
147,0,0.404,1,0,0
148,0,0.395,1,0,0
149,0,0.393,1,0,0
150,0.044,0.391,1,9,0
151,0.262,0.379,1,18,0
152,0.479,0.419,1,11,0
153,0.622,0.461,1,6,0
154,0.705,0.511,1,8.5,0
155,0.727,0.57,1,5,0
156,0.714,0.616,1,25,0
157,0.657,0.638,1,42.5,0
158,0.572,0.652,0,0,18
159,0.415,0.654,0,0,15
160,0.198,0.639,1,50,0
161,0.008,0.584,1,2.5,0
162,0,0.527,1,31.5,0
163,0,0.507,1,49,0
164,0,0.494,1,15,0
165,0,0.498,0,0,8
166,0,0.493,1,15,0
167,0,0.498,1,0,0
