,power,Wind,GridAvailability,SolarGen
0,0.0,0.847,1,0.0
1,0.0,0.794,1,0.0
2,0.0,0.752,1,0.0
3,0.0,0.718,1,0.0
4,0.0,0.6890000000000001,1,0.0
5,0.0,0.664,1,0.0
6,3.0,0.649,1,0.0
7,7.0,0.627,0,0.105
8,4.0,0.628,1,0.355
9,0.0,0.6509999999999999,0,0.546
10,0.0,0.71,1,0.665
11,0.0,0.805,1,0.722
12,19.0,0.8909999999999999,1,0.723
13,15.5,0.941,1,0.669
14,30.0,0.966,0,0.555
15,12.0,0.972,0,0.366
16,7.0,0.972,1,0.135
17,6.0,0.97,0,0.0
18,10.5,0.971,1,0.0
19,9.5,0.971,1,0.0
20,14.0,0.977,0,0.0
21,8.0,0.982,0,0.0
22,8.0,0.983,1,0.0
23,0.0,0.9840000000000001,1,0.0
24,0.0,0.983,0,0.0
25,0.0,0.98,1,0.0
26,2.0,0.975,1,0.0
27,0.0,0.968,1,0.0
28,2.0,0.961,0,0.0
29,2.0,0.948,0,0.0
30,5.0,0.934,1,0.0
31,4.0,0.9329999999999999,1,0.113
32,3.0,0.948,1,0.373
33,2.0,0.9620000000000001,1,0.5660000000000001
34,2.0,0.968,0,0.6890000000000001
35,0.0,0.973,0,0.748
36,16.5,0.972,0,0.733
37,18.0,0.965,1,0.6829999999999999
38,18.0,0.9540000000000001,1,0.573
39,3.0,0.943,1,0.395
40,12.0,0.924,1,0.156
41,12.0,0.889,1,0.0
42,13.0,0.847,1,0.0
43,13.0,0.82,0,0.0
44,7.5,0.807,1,0.0
45,6.0,0.8029999999999999,1,0.0
46,8.0,0.797,1,0.0
47,0.0,0.8,1,0.0
48,0.0,0.82,1,0.0
49,0.0,0.8270000000000001,1,0.0
50,0.0,0.8320000000000001,1,0.0
51,0.0,0.835,0,0.0
52,0.0,0.836,1,0.0
53,0.0,0.8220000000000001,1,0.0
54,6.0,0.797,1,0.0
55,8.0,0.7829999999999999,1,0.09699999999999999
56,7.0,0.83,1,0.349
57,1.5,0.856,1,0.53
58,0.0,0.8490000000000001,1,0.665
59,1.5,0.84,1,0.731
60,10.5,0.8290000000000001,1,0.74
61,15.0,0.8170000000000001,1,0.685
62,0.0,0.8079999999999999,1,0.563
63,1.5,0.8009999999999999,1,0.33
64,6.0,0.7829999999999999,1,0.11
65,16.5,0.75,0,0.0
66,19.0,0.7240000000000001,1,0.0
67,16.0,0.713,1,0.0
68,7.5,0.705,1,0.0
69,13.5,0.6970000000000001,1,0.0
70,8.0,0.674,1,0.0
71,0.0,0.64,1,0.0
72,2.0,0.605,1,0.0
73,2.0,0.575,1,0.0
74,0.0,0.5539999999999999,1,0.0
