,power,Wind,GridAvailability,SolarGen
0,75.0,0.847,1,0.0
1,80.5,0.794,1,0.0
2,91.5,0.752,1,0.0
3,81.0,0.718,1,0.0
4,81.0,0.6890000000000001,1,0.0
5,78.0,0.664,1,0.0
6,84.0,0.649,1,0.0
7,105.0,0.627,0,0.105
8,123.0,0.628,1,0.355
9,114.0,0.6509999999999999,0,0.546
10,125.0,0.71,1,0.665
11,120.5,0.805,1,0.722
12,129.0,0.8909999999999999,1,0.723
13,160.0,0.941,1,0.669
14,135.0,0.966,0,0.555
15,437.0,0.972,0,0.366
16,395.0,0.972,1,0.135
17,125.0,0.97,0,0.0
18,99.0,0.971,1,0.0
19,607.5,0.971,1,0.0
20,430.0,0.977,0,0.0
21,84.5,0.982,0,0.0
22,111.0,0.983,1,0.0
23,105.0,0.9840000000000001,1,0.0
24,75.0,0.983,0,0.0
25,81.0,0.98,1,0.0
26,81.0,0.975,1,0.0
27,84.0,0.968,1,0.0
28,87.0,0.961,0,0.0
29,81.0,0.948,0,0.0
30,355.0,0.934,1,0.0
31,358.0,0.9329999999999999,1,0.113
32,104.0,0.948,1,0.373
33,103.0,0.9620000000000001,1,0.5660000000000001
34,98.0,0.968,0,0.6890000000000001
35,104.5,0.973,0,0.748
36,127.0,0.972,0,0.733
37,128.5,0.965,1,0.6829999999999999
38,162.5,0.9540000000000001,1,0.573
39,196.0,0.943,1,0.395
40,173.0,0.924,1,0.156
41,184.5,0.889,1,0.0
42,185.0,0.847,1,0.0
43,347.0,0.82,0,0.0
44,198.5,0.807,1,0.0
45,342.5,0.8029999999999999,1,0.0
46,126.0,0.797,1,0.0
47,117.0,0.8,1,0.0
48,100.5,0.82,1,0.0
49,86.0,0.8270000000000001,1,0.0
50,80.0,0.8320000000000001,1,0.0
51,75.0,0.835,0,0.0
52,75.0,0.836,1,0.0
53,84.0,0.8220000000000001,1,0.0
54,84.0,0.797,1,0.0
55,98.0,0.7829999999999999,1,0.09699999999999999
56,112.0,0.83,1,0.349
57,121.5,0.856,1,0.53
58,131.5,0.8490000000000001,1,0.665
59,114.0,0.84,1,0.731
60,93.0,0.8290000000000001,1,0.74
61,92.0,0.8170000000000001,1,0.685
62,152.0,0.8079999999999999,1,0.563
63,408.0,0.8009999999999999,1,0.33
64,428.0,0.7829999999999999,1,0.11
65,182.0,0.75,0,0.0
66,168.0,0.7240000000000001,1,0.0
67,559.0,0.713,1,0.0
68,194.0,0.705,1,0.0
69,134.0,0.6970000000000001,1,0.0
70,114.0,0.674,1,0.0
71,99.0,0.64,1,0.0
72,87.0,0.605,1,0.0
73,103.0,0.575,1,0.0
74,88.5,0.5539999999999999,1,0.0
75,75.0,0.5329999999999999,0,0.0
76,75.0,0.515,1,0.0
77,78.0,0.45899999999999996,1,0.0
78,81.0,0.413,1,0.0
79,98.0,0.391,1,0.066
80,504.5,0.49,0,0.28
81,93.0,0.541,0,0.485
82,105.0,0.521,1,0.62
83,142.0,0.49200000000000005,1,0.687
84,161.0,0.465,1,0.6779999999999999
85,126.0,0.44299999999999995,1,0.627
86,660.0,0.428,1,0.512
87,411.0,0.41,1,0.311
88,136.0,0.38,1,0.105
89,139.0,0.35,1,0.0
90,182.0,0.341,1,0.0
91,443.0,0.315,0,0.0
92,240.5,0.294,1,0.0
93,139.5,0.271,1,0.0
94,93.0,0.264,1,0.0
95,96.0,0.26,1,0.0
96,75.0,0.26,1,0.0
97,83.0,0.263,1,0.0
98,81.0,0.265,1,0.0
99,78.0,0.271,1,0.0
100,81.0,0.275,1,0.0
101,81.0,0.268,1,0.0
102,96.0,0.262,1,0.0
103,100.5,0.256,1,0.073
104,127.0,0.335,1,0.29600000000000004
105,137.0,0.395,1,0.461
106,140.0,0.409,1,0.5870000000000001
107,108.0,0.425,1,0.616
108,139.0,0.451,1,0.6
109,172.0,0.48200000000000004,1,0.552
110,669.5,0.513,1,0.44
111,390.5,0.52,1,0.308
112,141.5,0.475,1,0.10099999999999999
113,144.5,0.389,1,0.0
114,153.0,0.342,1,0.0
115,381.0,0.318,1,0.0
116,379.0,0.284,1,0.0
117,131.0,0.257,0,0.0
118,108.0,0.243,0,0.0
119,105.0,0.28800000000000003,1,0.0
120,90.0,0.307,1,0.0
121,87.0,0.307,0,0.0
122,81.0,0.298,1,0.0
123,75.0,0.315,1,0.0
124,81.0,0.302,1,0.0
125,78.0,0.29100000000000004,1,0.0
126,84.0,0.27399999999999997,1,0.0
127,340.0,0.235,1,0.07200000000000001
128,593.0,0.249,0,0.299
129,87.0,0.267,1,0.506
130,90.0,0.256,1,0.639
131,107.0,0.253,1,0.701
132,124.5,0.262,1,0.6829999999999999
133,143.5,0.285,1,0.628
134,171.0,0.326,1,0.509
135,223.0,0.36700000000000005,0,0.306
136,247.0,0.386,1,0.1
137,157.0,0.40299999999999997,1,0.0
138,165.5,0.408,1,0.0
139,590.5,0.40399999999999997,0,0.0
140,428.0,0.391,1,0.0
141,136.5,0.382,1,0.0
142,102.0,0.374,1,0.0
143,73.5,0.377,0,0.0
144,75.0,0.397,0,0.0
145,80.0,0.39899999999999997,1,0.0
146,83.5,0.40399999999999997,1,0.0
147,81.0,0.40399999999999997,1,0.0
148,75.0,0.395,1,0.0
149,78.0,0.39299999999999996,1,0.0
150,81.0,0.391,1,0.0
151,96.0,0.379,1,0.099
152,111.0,0.419,1,0.35200000000000004
153,120.0,0.461,1,0.56
154,123.0,0.511,1,0.6940000000000001
155,101.5,0.57,1,0.76
156,94.0,0.616,1,0.748
157,75.0,0.638,1,0.6970000000000001
158,347.5,0.652,0,0.581
159,629.5,0.654,0,0.39799999999999996
160,353.5,0.639,1,0.153
161,180.5,0.584,1,0.001
162,146.0,0.527,1,0.0
163,541.5,0.507,1,0.0
164,160.0,0.494,1,0.0
165,313.5,0.498,0,0.0
166,105.0,0.493,1,0.0
167,108.0,0.498,1,0.0
0,75.0,0.847,1,0.0
1,80.5,0.794,1,0.0
2,91.5,0.752,1,0.0
3,81.0,0.718,0,0.0
4,81.0,0.6890000000000001,1,0.0
5,78.0,0.664,1,0.0
6,84.0,0.649,1,0.0
7,105.0,0.627,1,0.1
8,123.0,0.628,1,0.35
9,114.0,0.6509999999999999,1,0.544
10,125.0,0.71,1,0.6709999999999999
11,120.5,0.805,0,0.732
12,129.0,0.8909999999999999,0,0.7090000000000001
13,160.0,0.941,1,0.654
14,135.0,0.966,1,0.532
15,437.0,0.972,1,0.305
16,395.0,0.972,0,0.098
17,125.0,0.97,1,0.0
18,99.0,0.971,1,0.0
19,607.5,0.971,1,0.0
20,430.0,0.977,1,0.0
21,84.5,0.982,1,0.0
22,111.0,0.983,1,0.0
23,105.0,0.9840000000000001,0,0.0
24,75.0,0.983,0,0.0
25,81.0,0.98,1,0.0
26,81.0,0.975,1,0.0
27,84.0,0.968,1,0.0
28,87.0,0.961,1,0.0
29,81.0,0.948,0,0.0
30,355.0,0.934,1,0.0
31,358.0,0.9329999999999999,0,0.076
32,104.0,0.948,1,0.301
33,103.0,0.9620000000000001,0,0.509
34,98.0,0.968,0,0.6409999999999999
35,104.5,0.973,1,0.706
36,127.0,0.972,1,0.698
37,128.5,0.965,1,0.645
38,162.5,0.9540000000000001,1,0.527
39,196.0,0.943,1,0.342
40,173.0,0.924,0,0.11900000000000001
41,184.5,0.889,1,0.0
42,185.0,0.847,1,0.0
43,347.0,0.82,0,0.0
44,198.5,0.807,1,0.0
45,342.5,0.8029999999999999,1,0.0
46,126.0,0.797,1,0.0
47,117.0,0.8,0,0.0
48,100.5,0.82,1,0.0
49,86.0,0.8270000000000001,1,0.0
50,80.0,0.8320000000000001,0,0.0
51,75.0,0.835,1,0.0
52,75.0,0.836,1,0.0
53,84.0,0.8220000000000001,1,0.0
54,84.0,0.797,1,0.0
55,98.0,0.7829999999999999,0,0.081
56,112.0,0.83,1,0.298
57,121.5,0.856,1,0.47
58,131.5,0.8490000000000001,1,0.551
59,114.0,0.84,1,0.564
60,93.0,0.8290000000000001,0,0.5770000000000001
61,92.0,0.8170000000000001,0,0.52
62,152.0,0.8079999999999999,1,0.368
63,408.0,0.8009999999999999,0,0.212
64,428.0,0.7829999999999999,1,0.08800000000000001
65,182.0,0.75,1,0.0
66,168.0,0.7240000000000001,1,0.0
67,559.0,0.713,1,0.0
68,194.0,0.705,1,0.0
69,134.0,0.6970000000000001,0,0.0
70,114.0,0.674,1,0.0
71,99.0,0.64,1,0.0
72,87.0,0.605,1,0.0
73,103.0,0.575,1,0.0
74,88.5,0.5539999999999999,1,0.0
75,75.0,0.5329999999999999,0,0.0
76,75.0,0.515,1,0.0
77,78.0,0.45899999999999996,1,0.0
78,81.0,0.413,1,0.0
79,98.0,0.391,1,0.09300000000000001
80,504.5,0.49,1,0.27899999999999997
81,93.0,0.541,0,0.38299999999999995
82,105.0,0.521,0,0.3
83,142.0,0.49200000000000005,1,0.24100000000000002
84,161.0,0.465,0,0.26899999999999996
85,126.0,0.44299999999999995,1,0.52
86,660.0,0.428,1,0.19899999999999998
87,411.0,0.41,1,0.07400000000000001
88,136.0,0.38,1,0.027000000000000003
89,139.0,0.35,1,0.0
90,182.0,0.341,1,0.0
91,443.0,0.315,0,0.0
92,240.5,0.294,0,0.0
93,139.5,0.271,0,0.0
94,93.0,0.264,1,0.0
95,96.0,0.26,1,0.0
96,75.0,0.26,0,0.0
97,83.0,0.263,0,0.0
98,81.0,0.265,1,0.0
99,78.0,0.271,1,0.0
100,81.0,0.275,1,0.0
101,81.0,0.268,0,0.0
102,96.0,0.262,1,0.0
103,100.5,0.256,1,0.11900000000000001
104,127.0,0.335,1,0.35600000000000004
105,137.0,0.395,1,0.561
106,140.0,0.409,0,0.691
107,108.0,0.425,1,0.758
108,139.0,0.451,1,0.765
109,172.0,0.48200000000000004,0,0.715
110,669.5,0.513,0,0.603
111,390.5,0.52,1,0.41200000000000003
112,141.5,0.475,1,0.168
