"hour","power"
0,90
1,98
2,78
3,78
4,87
5,78
6,84
7,92
8,95
9,124.5
10,125
11,151.5
12,153.5
13,146
14,399.5
15,104
16,127
17,167
18,187
19,151
20,141.5
21,524.5
22,93
23,105
24,98
25,89.5
26,86
27,75
28,81
29,81
30,90
31,115.5
32,136
33,318
34,89
35,346
36,331
37,141
38,172
39,198.5
40,165
41,121
42,150
43,153.5
44,154
45,114
46,117
47,105
48,75
49,86.5
50,94.5
51,81
52,75
53,75
54,84
55,99
56,305
57,101
58,343
59,99
60,119
61,167
62,152
63,125.5
64,147
65,144.5
66,165.5
67,188
68,190
69,319.5
70,111
71,105
72,95
73,81
74,75
75,78
76,81
77,78
78,93
79,106
80,309
81,98.5
82,92.5
83,113.5
84,664.5
85,160
86,160
87,124
88,136
89,220.5
90,155.5
91,208.5
92,226
93,543
94,114
95,117
96,80.5
97,88.5
98,89
99,78
100,75
101,75
102,75
103,93
104,115
105,313.5
106,98.5
107,104
108,113
109,115
110,160
111,459.5
112,453.5
113,221.5
114,147.5
115,180
116,206
117,337
118,120
119,120
120,105
121,81
122,82.5
123,75
124,87
125,75
126,90
127,102
128,107
129,99
130,120
131,128
132,158
133,157.5
134,135
135,411
136,170
137,169
138,178.5
139,414
140,197
141,140
142,123
143,102
144,77.5
145,85
146,80
147,75
148,78
149,87
150,81
151,90
152,122.5
153,119
154,115.5
155,124
156,118.5
157,99
158,152
159,175
160,374
161,193.5
162,211
163,385
164,153
165,516
166,111
167,114
168,75
169,78
170,83.5
171,81
172,81
173,78
174,596
175,113
176,124
177,310.5
178,96
179,113
180,129.5
181,140
182,207
183,170
184,130
185,149
186,162
187,146
188,188
189,133.5
190,114
191,111
192,81
193,78
194,85
195,84
196,84
197,78
198,93
199,124.5
200,372
201,305
202,104
203,119.5
204,147.5
205,166
206,155
207,141
208,133
209,175.5
210,178
211,162.5
212,177
213,134
214,96
215,99
216,98
217,81
218,78
219,75
220,81
221,87
222,93
223,107
224,308
225,361
226,607.5
227,119
228,101.5
229,122.5
230,146
231,132
232,191.5
233,207.5
234,193
235,613
236,129.5
237,90
238,99
239,114
240,83.5
241,86
242,78
243,87
244,81
245,78
246,87
247,99
248,107.5
249,106.5
250,122
251,372.5
252,603.5
253,138
254,181.5
255,192
256,196
257,182
258,168
259,142
260,127.5
261,507.5
262,102
263,96
264,101
265,103
266,81
267,78
268,75
269,78
270,90
271,102
272,296
273,299
274,108
275,108
276,87
277,75
278,121
279,419.5
280,411.5
281,150.5
282,169.5
283,361
284,150
285,111
286,111
287,114
288,80.5
289,81
