"hour","power"
0,22.5
1,24
2,24
3,21
4,22
5,21
6,27
7,28
8,231.5
9,34.5
10,35
11,39.5
12,32
13,26.5
14,169
15,293
16,146
17,27
18,31
19,60
20,49
21,31
22,32
23,28
24,23.5
25,24
26,23
27,20
28,20
29,22
30,257
31,266
32,36.5
33,135
34,38
35,32
36,33
37,36
38,50.5
39,33.5
40,31
41,60
42,49
43,144
44,154
45,30
46,31
47,33
48,23
49,24
50,21
51,22
52,21
53,20
54,22
55,25
56,26
57,260.5
58,266.5
59,39.5
60,32
61,29
62,36.5
63,55.5
64,58.5
65,75.5
66,67
67,149.5
68,65
69,229
70,29
71,30
72,24
73,23
74,27
75,21
76,22
77,22
78,29
79,29
80,28
81,31
82,33
83,155.5
84,274
85,35
86,42.5
87,42
88,32.5
89,46
90,40
91,229
92,36
93,37
94,25
95,32
96,22
97,21.5
98,25
99,24
100,21
101,22
102,24
103,31
104,29
105,31
106,35
107,32
108,144
109,257
110,141.5
111,53
112,51
113,54.5
114,59
115,53.5
116,147
117,133.5
118,24
119,28
120,21
121,24
122,20
123,20
124,22
125,23
126,21
127,25
128,129
129,33.5
130,35.5
131,151.5
132,271.5
133,50
134,65
135,28
136,32.5
137,43
138,43
139,247
140,60.5
141,45
142,39
143,38
144,21.5
145,25.5
146,23.5
147,21
148,20
149,22
150,30
151,34
152,371.5
153,39.5
154,33.5
155,44
156,58
157,39
158,26
159,32.5
160,40
161,32.5
162,38.5
163,40
164,28.5
165,234.5
166,29
167,28
