,Demand,Demand shortage,Demand supplied,PV generation,Wind generation,Storage discharge,Storage charge,Genset generation,Excess generation
2018-01-01 00:00:00,0.0,-0.0,0.0,0.0,6.036742,-0.0,0.0,0.0,6.036742
2018-01-01 01:00:00,0.0,-0.0,0.0,0.0,6.4310549,-0.0,0.0,0.0,6.4310549
2018-01-01 02:00:00,0.0,-0.0,0.0,0.0,6.5812693,-0.0,0.0,0.0,6.5812693
2018-01-01 03:00:00,0.0,-0.0,0.0,0.0,6.5718809,-0.0,0.0,0.0,6.5718809
2018-01-01 04:00:00,0.0,-0.0,0.0,0.0,6.4686085,-0.0,0.0,0.0,6.4686085
2018-01-01 05:00:00,0.0,-0.0,0.0,0.0,6.3371708,-0.0,0.0,0.0,6.3371708
2018-01-01 06:00:00,0.0,-0.0,0.0,0.0,6.177568,-0.0,0.0,0.0,6.177568
2018-01-01 07:00:00,0.0,-0.0,0.0,0.0,5.9522464,-0.0,0.0,0.0,5.9522464
2018-01-01 08:00:00,0.0,-0.0,0.0,0.0,5.5579335,-0.0,0.0,0.0,5.5579335
2018-01-01 09:00:00,0.0,-0.0,0.0,0.0,5.1166787,-0.0,0.0,0.0,5.1166787
2018-01-01 10:00:00,0.0,-0.0,0.0,0.0,5.1448439,-0.0,0.0,0.0,5.1448439
2018-01-01 11:00:00,0.0,-0.0,0.0,0.0,5.2762815,-0.0,0.0,0.0,5.2762815
2018-01-01 12:00:00,0.0,-0.0,0.0,0.0,5.4640495,-0.0,0.0,0.0,5.4640495
2018-01-01 13:00:00,0.0,-0.0,0.0,0.0,5.6142639,-0.0,0.0,0.0,5.6142639
2018-01-01 14:00:00,0.0,-0.0,0.0,0.0,5.7644784,-0.0,0.0,0.0,5.7644784
2018-01-01 15:00:00,0.0,-0.0,0.0,0.0,5.942858,-0.0,0.0,0.0,5.942858
2018-01-01 16:00:00,1.2516,-0.0,1.2516,0.0,6.0085768,-0.0,0.21259112,0.0,4.5443857
2018-01-01 17:00:00,5.0958,-0.0,5.0958,0.0,5.9804116,-0.0,0.8846116,0.0,0.0
2018-01-01 18:00:00,6.4368,-0.0,6.4368,0.0,5.9522464,-0.48455361,0.0,0.0,0.0
2018-01-01 19:00:00,6.9732,-0.0,6.9732,0.0,5.9710232,-0.50292884,0.0,0.49924796,0.0
2018-01-01 20:00:00,5.9898,-0.0,5.9898,0.0,5.9898,-0.0,0.0,0.0,0.0
2018-01-01 21:00:00,4.47,-0.0,4.47,0.0,6.036742,-0.0,0.0,0.0,1.566742
2018-01-01 22:00:00,3.7548,-0.0,3.7548,0.0,6.083684,-0.0,0.0,0.0,2.328884
2018-01-01 23:00:00,0.0,-0.0,0.0,0.0,6.2902288,-0.0,0.0,0.0,6.2902288
2018-01-02 00:00:00,0.0,-0.0,0.0,0.0,6.6939301,-0.0,0.0,0.0,6.6939301
2018-01-02 01:00:00,0.0,-0.0,0.0,0.0,6.5812693,-0.0,0.0,0.0,6.5812693
2018-01-02 02:00:00,0.0,-0.0,0.0,0.0,6.2808404,-0.0,0.0,0.0,6.2808404
2018-01-02 03:00:00,0.0,-0.0,0.0,0.0,5.8771392,-0.0,0.0,0.0,5.8771392
2018-01-02 04:00:00,0.0,-0.0,0.0,0.0,5.3701655,-0.0,0.0,0.0,5.3701655
2018-01-02 05:00:00,0.0,-0.0,0.0,0.0,4.844415,-0.0,0.0,0.0,4.844415
2018-01-02 06:00:00,0.0,-0.0,0.0,0.0,4.3656066,-0.0,0.0,0.0,4.3656066
2018-01-02 07:00:00,0.0,-0.0,0.0,0.0,3.8867981,-0.0,0.0,0.0,3.8867981
2018-01-02 08:00:00,0.0,-0.0,0.0,0.0,3.3516592,-0.0,0.0,0.0,3.3516592
2018-01-02 09:00:00,0.0,-0.0,0.0,0.0,2.9949,-0.0,0.0,0.0,2.9949
2018-01-02 10:00:00,0.0,-0.0,0.0,0.0,2.8352972,-0.0,0.0,0.0,2.8352972
2018-01-02 11:00:00,0.0,-0.0,0.0,0.0,2.713248,-0.0,0.0,0.0,2.713248
2018-01-02 12:00:00,0.0,-0.0,0.0,0.0,2.6756944,-0.0,0.0,0.0,2.6756944
2018-01-02 13:00:00,0.0,-0.0,0.0,0.0,2.6475292,-0.0,5.7620922e-20,0.0,2.6475292
2018-01-02 14:00:00,0.0,-0.0,0.0,0.0,2.5067031,-0.0,0.0,0.0,2.5067031
2018-01-02 15:00:00,0.0,-0.0,0.0,0.0,2.3564887,-0.0,0.16130522,0.0,2.1951835
2018-01-02 16:00:00,1.2516,-0.0,1.2516,0.0,2.1874975,-0.0,0.93589749,0.0,0.0
2018-01-02 17:00:00,5.0958,-0.0,5.0958,0.0,2.0372831,-0.93270181,0.0,2.1258151,0.0
2018-01-02 18:00:00,6.4368,-0.0,6.4368,0.0,1.9527875,-0.0,0.0,4.4840125,0.0
2018-01-02 19:00:00,6.9732,-0.0,6.9732,0.0,1.9621759,-0.054780636,0.0,4.9562435,0.0
2018-01-02 20:00:00,5.9898,-0.0,5.9898,0.0,2.0278947,-0.0,0.0,3.9619053,0.0
2018-01-02 21:00:00,4.47,-0.0,4.47,0.0,1.9340107,1.2904341e-17,0.0,2.5359893,0.0
2018-01-02 22:00:00,3.7548,-0.0,3.7548,0.0,1.7744078,-0.0,0.0,1.9803922,0.0
2018-01-02 23:00:00,0.0,-0.0,0.0,0.0,1.7368542,-0.0,0.0,0.0,1.7368542
2018-01-03 00:00:00,0.0,-0.0,0.0,0.0,1.9621759,-0.0,0.0,0.0,1.9621759
2018-01-03 01:00:00,0.0,-0.0,0.0,0.0,2.0748367,-0.0,0.0,0.0,2.0748367
2018-01-03 02:00:00,0.0,-0.0,0.0,0.0,2.1217787,-0.0,0.0,0.0,2.1217787
2018-01-03 03:00:00,0.0,-0.0,0.0,0.0,2.1687207,-0.0,0.0,0.0,2.1687207
2018-01-03 04:00:00,0.0,-0.0,0.0,0.0,2.1499439,-0.0,0.0,0.0,2.1499439
2018-01-03 05:00:00,0.0,-0.0,0.0,0.0,2.1217787,-0.0,4.2015331e-17,0.0,2.1217787
2018-01-03 06:00:00,0.0,-0.0,0.0,0.0,2.1217787,-0.0,0.0,0.0,2.1217787
2018-01-03 07:00:00,0.0,-0.0,0.0,0.0,2.0560599,-0.0,-1.3708712e-17,0.0,2.0560599
2018-01-03 08:00:00,0.0,-0.0,0.0,0.0,1.802573,-0.0,0.0,0.0,1.802573
2018-01-03 09:00:00,0.0,-0.0,0.0,0.0,1.567863,-0.0,1.7822317e-17,0.0,1.567863
2018-01-03 10:00:00,0.0,-0.0,0.0,0.0,1.4458138,-0.0,6.059479e-18,0.0,1.4458138
2018-01-03 11:00:00,0.0,-0.0,0.0,0.0,1.333153,-0.0,0.0,0.0,1.333153
2018-01-03 12:00:00,0.0,-0.0,0.0,0.0,1.2111038,-0.0,1.6302572e-17,0.0,1.2111038
2018-01-03 13:00:00,0.0,-0.0,0.0,0.0,1.145385,-0.0,-1.7482691e-17,0.0,1.145385
2018-01-03 14:00:00,0.0,-0.0,0.0,0.0,1.0796661,-0.0,0.017536573,0.0,1.0621296
