,Demand supply,PV generation,GenSet,Discharge storage,Charge storage,Excess electricity,Consumption from main grid
2018-01-01 00:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078
2018-01-01 01:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078
2018-01-01 02:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078
2018-01-01 03:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078
2018-01-01 04:00:00,10.3633,0.0,0.0,0.0,0.0,0.0,10.3633
2018-01-01 05:00:00,12.7843,0.0,0.0,0.0,0.0,0.0,12.7843
2018-01-01 06:00:00,21.6117,8.949,0.0,0.0,0.0,0.0,12.6627
2018-01-01 07:00:00,17.5444,38.150999999999996,0.0,0.0,0.0,20.6066,0.0
2018-01-01 08:00:00,18.1454,66.254,0.0,0.0,6.0053556,42.103244,0.0
2018-01-01 09:00:00,18.1454,87.606,0.0,0.0,69.4606,0.0,0.0
2018-01-01 10:00:00,21.7224,94.357,0.0,0.0,72.6346,0.0,0.0
2018-01-01 11:00:00,21.7224,95.613,0.0,0.0,73.8906,0.0,0.0
2018-01-01 12:00:00,21.7224,80.07000000000001,0.0,0.0,58.3476,0.0,0.0
2018-01-01 13:00:00,20.9744,65.94,0.0,0.0,44.9656,0.0,0.0
2018-01-01 14:00:00,21.9254,48.199,0.0,0.0,26.2736,0.0,0.0
2018-01-01 15:00:00,23.8114,27.788999999999998,0.0,0.0,3.9776,0.0,0.0
2018-01-01 16:00:00,27.934,15.072000000000001,0.0,12.862,0.0,0.0,0.0
2018-01-01 17:00:00,39.211999999999996,5.495,0.0,33.717,0.0,0.0,0.0
2018-01-01 18:00:00,52.8735,0.0,0.0,52.8735,0.0,0.0,0.0
2018-01-01 19:00:00,59.108999999999995,0.0,0.0,59.109,0.0,0.0,0.0
2018-01-01 20:00:00,41.52458,0.0,0.0,41.52458,0.0,0.0,0.0
2018-01-01 21:00:00,23.793000000000003,0.0,0.0,23.793,0.0,0.0,0.0
2018-01-01 22:00:00,13.1637,0.0,0.0,13.1637,0.0,0.0,0.0
2018-01-01 23:00:00,6.0930599999999995,0.0,0.0,6.09306,0.0,0.0,0.0
2018-01-02 00:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0,0.0
2018-01-02 01:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0,0.0
2018-01-02 02:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0,0.0
2018-01-02 03:00:00,5.41078,0.0,0.0,5.41078,0.0,0.0,0.0
2018-01-02 04:00:00,10.3633,0.0,0.0,10.3633,0.0,0.0,0.0
2018-01-02 05:00:00,12.7843,0.0,0.0,12.7843,0.0,0.0,0.0
2018-01-02 06:00:00,21.6117,6.7509999999999994,0.0,0.07344,0.0,0.0,14.78726
2018-01-02 07:00:00,17.5444,27.317999999999998,0.0,0.0,0.0,9.7736,0.0
2018-01-02 08:00:00,18.1454,50.083,0.0,0.0,12.442356,19.495244,0.0
2018-01-02 09:00:00,18.1454,66.254,0.0,0.0,48.1086,0.0,0.0
2018-01-02 10:00:00,21.7224,76.145,0.0,0.0,54.4226,0.0,0.0
2018-01-02 11:00:00,21.7224,83.21000000000001,0.0,0.0,61.4876,0.0,0.0
2018-01-02 12:00:00,21.7224,84.623,0.0,0.0,62.9006,0.0,0.0
2018-01-02 13:00:00,20.9744,80.07000000000001,0.0,0.0,59.0956,0.0,0.0
2018-01-02 14:00:00,21.9254,60.602000000000004,0.0,0.0,38.6766,0.0,0.0
