,Demand supply,PV generation,GenSet,Discharge storage,Charge storage,Excess electricity,Consumption from main grid,Feed into main grid
2018-01-01 00:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 01:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 02:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 03:00:00,5.41078,0.0,0.0,0.0,0.0,0.0,5.41078,0.0
2018-01-01 04:00:00,10.3633,0.0,0.0,0.0,0.0,0.0,10.3633,0.0
2018-01-01 05:00:00,12.7843,0.0,0.0,0.0,0.0,0.0,12.7843,0.0
2018-01-01 06:00:00,21.6117,9.006,0.0,0.0,0.0,0.0,12.6057,0.0
2018-01-01 07:00:00,17.5444,38.394,0.0,0.0,20.8496,0.0,0.0,0.0
2018-01-01 08:00:00,18.1454,66.676,0.0,0.0,0.0,0.0,10.7594,59.29
2018-01-01 09:00:00,18.1454,88.16399999999999,0.0,0.0,51.992356,0.0,0.0,18.026244
2018-01-01 10:00:00,21.7224,94.958,0.0,0.0,73.2356,0.0,0.0,0.0
2018-01-01 11:00:00,21.7224,96.222,0.0,0.0,74.4996,0.0,0.0,0.0
2018-01-01 12:00:00,21.7224,80.58,0.0,0.0,58.8576,0.0,0.0,0.0
2018-01-01 13:00:00,20.9744,66.36,0.0,0.0,45.3856,0.0,0.0,0.0
2018-01-01 14:00:00,21.9254,48.506,0.0,0.0,26.5806,0.0,0.0,0.0
2018-01-01 15:00:00,23.8114,27.965999999999998,0.0,0.0,4.1546,0.0,0.0,0.0
2018-01-01 16:00:00,27.934,15.168000000000001,0.0,12.766,0.0,0.0,0.0,0.0
2018-01-01 17:00:00,39.211999999999996,5.53,0.0,33.682,0.0,0.0,0.0,0.0
2018-01-01 18:00:00,52.8735,0.0,0.0,52.8735,0.0,0.0,0.0,0.0
2018-01-01 19:00:00,59.108999999999995,0.0,0.0,59.109,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,41.52458,0.0,0.0,41.52458,0.0,0.0,0.0,0.0
