,Demand,Demand shortage,Demand supplied,PV generation,Consumption from main grid,Storage discharge,Storage SOC,Storage charge,Grid availability,Excess generation
2018-01-01 00:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.21752629649714822,0.0,1,0.0
2018-01-01 01:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.21752629649714822,0.0,1,0.0
2018-01-01 02:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.21752629649714822,0.0,0,0.0
2018-01-01 03:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.21752629649714822,0.0,0,0.0
2018-01-01 04:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.21752629649714822,0.0,1,0.0
2018-01-01 05:00:00,0.0,-0.0,0.0,0.0,0.0,-0.0,0.21752629649714822,0.0,1,0.0
2018-01-01 06:00:00,4.0,-0.0,4.0,1.1259213,0.0,-2.8740787,0.19999999999999998,0.0,1,0.0
2018-01-01 07:00:00,4.0,-0.0,4.0,6.620417,0.0,-1.6,0.20731766795435264,3.1111111,1,1.1093059
2018-01-01 08:00:00,3.0,-0.0,3.0,16.888819,0.0,-1.2,0.19999999999999998,0.0,1,15.088819
2018-01-01 09:00:00,3.0,-0.0,3.0,26.346558,0.0,-1.2,0.31820488214072523,22.871138,1,1.675419
2018-01-01 10:00:00,0.0,-0.0,0.0,29.273953,0.0,-0.0,0.4788676786960794,29.273953,1,0.0
2018-01-01 11:00:00,6.0,-0.0,6.0,28.553363,0.0,-2.4,0.6011826632006125,24.953363,1,0.0
2018-01-01 12:00:00,6.0,-0.0,6.0,22.518425,0.0,-2.4,0.6903764190101549,18.918425,1,0.0
2018-01-01 13:00:00,0.0,-0.0,0.0,15.852971,0.0,-0.0,0.7773814786287202,15.852971,1,0.0
2018-01-01 14:00:00,3.0,-0.0,3.0,14.59194,0.0,-1.2,0.8402692121255952,12.79194,1,0.0
2018-01-01 15:00:00,6.0,-0.0,6.0,6.1250117,0.0,-2.4,0.8394917708860116,2.5250117,1,0.0
2018-01-01 16:00:00,3.0,-0.0,3.0,0.0,0.0,-3.0,0.8211976010001301,0.0,0,0.0
2018-01-01 17:00:00,6.0,-0.0,6.0,0.0,0.0,-6.0,0.7846092612283668,0.0,1,0.0
2018-01-01 18:00:00,9.0,-0.0,9.0,0.0,0.0,-9.0,0.7297267515707221,0.0,1,0.0
2018-01-01 19:00:00,6.0,-0.0,6.0,0.0,0.0,-6.0,0.693138411798959,0.0,0,0.0
2018-01-01 20:00:00,4.0,-0.0,4.0,0.0,0.0,-4.0,0.6687461852844502,0.0,1,0.0
2018-01-01 21:00:00,4.0,-0.0,4.0,0.0,0.0,-4.0,0.6443539587699414,0.0,1,0.0
2018-01-01 22:00:00,16.0,-0.0,16.0,0.0,0.0,-16.0,0.5467850283196799,0.0,1,0.0
