,case,filename,total_demand_annual_kWh,demand_peak_kW,total_demand_supplied_annual_kWh,total_demand_shortage_annual_kWh,capacity_pv_kWp,capacity_wind_kW,capacity_storage_kWh,capacity_genset_kW,capacity_pcoupling_kW,consumption_fuel_annual_l,consumption_main_grid_mg_side_annual_kWh,feedin_main_grid_mg_side_annual_kWh,expenditures_fuel_annual,expenditures_main_grid_consumption_annual,expenditures_shortage_annual,revenue_main_grid_feedin_annual,res_share,autonomy_factor,supply_reliability_kWh,annuity,npv,lcoe,objective_value,simulation_time,evaluation_time,comments,project_site_name,stability_limit
0,base_oem,results_base_oem_s_Masbate_stability_limit_-1.0,111141569.24769,21840.0,105584490.79032,5557078.45737,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95408,0,0,4733060.75331,,555707.84574,,0.92492,1.0,0.95,13578482.02035,123951793.23967,0.1286,13578482.02036,44.13077,76.62839,,Masbate,-1.0
1,base_oem,results_base_oem_s_Masbate_stability_limit_-0.9,111141569.24769,21840.0,105584490.79032,5557078.45737,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95538,0,0,4733060.75344,,555707.84574,,0.92492,1.0,0.95,13578482.02049,123951793.24087,0.1286,13578482.02049,43.88619,76.73955,,Masbate,-0.9
2,base_oem,results_base_oem_s_Masbate_stability_limit_-0.8,111141569.24769,21840.0,105584490.79035,5557078.45734,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95488,0,0,4733060.75339,,555707.84573,,0.92492,1.0,0.95,13578482.02043,123951793.24038,0.1286,13578482.02043,45.03694,77.85357,,Masbate,-0.8
3,base_oem,results_base_oem_s_Masbate_stability_limit_-0.7,111141569.24769,21840.0,105584490.79032,5557078.45737,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95418,0,0,4733060.75332,,555707.84574,,0.92492,1.0,0.95,13578482.02036,123951793.23976,0.1286,13578482.02037,38.49525,71.5783,,Masbate,-0.7
4,base_oem,results_base_oem_s_Masbate_stability_limit_-0.6,111141569.24769,21840.0,105584490.79032,5557078.45737,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95608,0,0,4733060.75351,,555707.84574,,0.92492,1.0,0.95,13578482.02056,123951793.24152,0.1286,13578482.02056,40.12121,73.22088,,Masbate,-0.6
5,base_oem,results_base_oem_s_Masbate_stability_limit_-0.5,111141569.24769,21840.0,105584490.79042,5557078.45727,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95608,0,0,4733060.75351,,555707.84573,,0.92492,1.0,0.95,13578482.02055,123951793.24143,0.1286,13578482.02055,40.24724,74.86302,,Masbate,-0.5
6,base_oem,results_base_oem_s_Masbate_stability_limit_-0.4,111141569.24769,21840.0,105584490.79022,5557078.45747,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95508,0,0,4733060.75341,,555707.84575,,0.92492,1.0,0.95,13578482.02047,123951793.24069,0.1286,13578482.02047,40.69334,73.59682,,Masbate,-0.4
7,base_oem,results_base_oem_s_Masbate_stability_limit_-0.3,111141569.24769,21840.0,105584490.79035,5557078.45734,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95558,0,0,4733060.75346,,555707.84573,,0.92492,1.0,0.95,13578482.0205,123951793.24103,0.1286,13578482.0205,41.02634,74.0664,,Masbate,-0.3
8,base_oem,results_base_oem_s_Masbate_stability_limit_-0.2,111141569.24769,21840.0,105584490.79035,5557078.45734,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95418,0,0,4733060.75332,,555707.84573,,0.92492,1.0,0.95,13578482.02036,123951793.23974,0.1286,13578482.02036,45.44031,78.46412,,Masbate,-0.2
9,base_oem,results_base_oem_s_Masbate_stability_limit_-0.1,111141569.24769,21840.0,105584490.79035,5557078.45734,21671.73624,59922.17031,10.79271,6943.3405,0,46798802.95498,0,0,4733060.7534,,555707.84573,,0.92492,1.0,0.95,13578482.02044,123951793.24047,0.1286,13578482.02044,46.47678,81.23232,,Masbate,-0.1
